41.1257 ms
1 -> true, performed by thread: 0
14 -> true, performed by thread: 1
100 -> false, performed by thread: 1
563 -> false, performed by thread: 0
5 -> false, performed by thread: 0
33 -> false, performed by thread: 0
223 -> false, performed by thread: 0
68 -> false, performed by thread: 0
935 -> false, performed by thread: 0
74 -> true, performed by thread: 2
64 -> false, performed by thread: 2
472 -> false, performed by thread: 2
112 -> false, performed by thread: 2
51 -> true, performed by thread: 2
242 -> false, performed by thread: 2
35 -> true, performed by thread: 2
197 -> false, performed by thread: 2
791 -> false, performed by thread: 4
46 -> false, performed by thread: 4
627 -> false, performed by thread: 1
36 -> false, performed by thread: 1
66 -> false, performed by thread: 2
74 -> true, performed by thread: 1
24 -> false, performed by thread: 1
225 -> false, performed by thread: 5
866 -> false, performed by thread: 2
268 -> false, performed by thread: 1
102 -> false, performed by thread: 2
833 -> false, performed by thread: 4
255 -> false, performed by thread: 5
679 -> false, performed by thread: 0
4 -> false, performed by thread: 8
7 -> false, performed by thread: 9
10 -> false, performed by thread: 11
3 -> false, performed by thread: 9
5 -> false, performed by thread: 9
67 -> false, performed by thread: 11
77 -> false, performed by thread: 6
23 -> true, performed by thread: 11
95 -> false, performed by thread: 11
65 -> false, performed by thread: 12
128 -> false, performed by thread: 0
64 -> false, performed by thread: 0
84 -> false, performed by thread: 8
47 -> false, performed by thread: 0
11 -> false, performed by thread: 2
22 -> false, performed by thread: 8
35 -> true, performed by thread: 2
97 -> false, performed by thread: 8
71 -> false, performed by thread: 2
406 -> false, performed by thread: 8
83 -> false, performed by thread: 8
36 -> false, performed by thread: 2
13 -> false, performed by thread: 9
51 -> true, performed by thread: 0
21 -> false, performed by thread: 4
11 -> false, performed by thread: 4
66 -> false, performed by thread: 14
9 -> false, performed by thread: 0
4 -> false, performed by thread: 14
89 -> false, performed by thread: 5
225 -> false, performed by thread: 2
28 -> false, performed by thread: 16
150 -> false, performed by thread: 1
79 -> false, performed by thread: 11
112 -> false, performed by thread: 13
86 -> false, performed by thread: 17
25 -> false, performed by thread: 9
102 -> false, performed by thread: 8
21 -> false, performed by thread: 4
77 -> false, performed by thread: 18
89 -> false, performed by thread: 19
94 -> false, performed by thread: 10
12 -> false, performed by thread: 0
15 -> false, performed by thread: 20
9 -> false, performed by thread: 7
74 -> true, performed by thread: 15
24 -> false, performed by thread: 12
68 -> false, performed by thread: 6
565 -> false, performed by thread: 3
443b,109r,51b,22r,16b,12r,8b,4r,2b,1b,f,f,4b,2r,f,f,f,6b,6b,f,f,7r,7b,f,f,7b,f,f,9r,8b,8b,f,f,9b,8r,f,f,f,10b,9b,f,9r,f,f,10r,10b,f,f,11b,10r,f,f,11r,f,f,13b,12b,12b,f,f,12b,f,12r,f,f,14b,13b,13r,f,f,13r,f,f,15r,14b,14r,f,f,15r,f,f,15b,15r,f,f,15r,f,f,19r,17b,16b,16b,f,f,16r,16b,f,f,16b,16r,f,f,17r,f,f,17b,17r,17b,f,f,17b,f,f,17r,17b,f,f,18b,17r,f,f,18r,f,f,19b,19b,19b,f,f,19b,f,f,20r,19b,19b,f,f,19r,19b,f,f,20b,19r,f,f,f,20b,20b,f,f,21b,20r,f,f,f,29b,25b,22r,22b,22b,f,f,22b,f,f,23b,23r,22b,22r,f,f,23r,f,f,23b,f,f,24r,23b,23r,f,f,f,24b,f,f,27r,26b,25r,25b,f,f,25b,25r,f,f,25r,f,f,26b,f,26r,f,f,28b,27b,27r,f,f,27r,f,f,28b,f,28r,f,f,40r,36b,34r,32b,31r,29b,29r,f,f,29r,f,f,31b,f,31r,f,f,33r,32b,f,32r,f,f,33b,f,f,34b,34b,f,f,35b,f,35r,f,f,38r,36b,36b,f,f,36r,36b,f,f,37b,36r,f,f,37r,f,f,38b,38b,f,f,38b,38r,f,f,39r,f,f,46b,44r,41b,40b,40r,f,f,40r,f,f,42r,41b,f,f,43b,43r,f,f,43r,f,f,45b,44b,f,f,46b,f,f,49r,47b,46r,46b,f,f,47b,46r,f,f,f,48r,48b,47r,f,f,f,48b,f,48r,f,f,50b,50r,49b,f,49r,f,f,50b,f,f,50r,50b,f,f,50b,50r,f,f,50r,f,f,77r,61b,55r,53b,52b,51b,51r,f,f,51r,f,f,52r,52b,f,f,52b,52r,f,f,52r,f,f,54b,54b,53r,f,f,f,54b,54r,f,f,54r,f,f,58b,56r,56b,55b,55r,f,f,56r,f,f,56b,f,f,57b,57b,56r,f,f,f,57r,57b,f,f,57b,f,57r,f,f,58b,58r,58b,f,f,58b,f,f,59r,58b,f,58r,f,f,60b,f,f,70r,66b,63r,61b,61b,f,f,62r,62b,f,f,62b,f,62r,f,f,64b,63b,f,63r,f,f,65b,64r,f,f,f,67b,66b,f,66r,f,f,68r,67b,f,67r,f,f,68b,f,68r,f,f,74b,71b,70r,70b,f,f,70b,f,70r,f,f,73r,73b,72r,f,f,f,73b,f,f,76b,75b,f,75r,f,f,76r,76b,f,f,76b,f,76r,f,f,91b,83r,79b,78b,77r,77b,f,f,77b,f,77r,f,f,78r,78b,f,f,78b,78r,f,f,78r,f,f,82r,79b,79b,f,f,80b,79r,f,f,81r,f,f,82b,82b,f,f,82r,82b,f,f,82b,f,82r,f,f,87b,86r,83b,83b,f,f,85r,83b,83r,f,f,84r,f,f,85b,f,f,86b,86b,f,f,86b,f,f,89r,88b,87r,87b,f,f,87b,f,87r,f,f,88b,f,88r,f,f,89b,89b,f,f,90r,90b,89r,f,f,f,90b,f,f,94r,93b,91b,91b,f,f,92r,92b,91r,f,f,f,93b,f,f,93b,93r,93b,f,f,93b,f,f,93r,93b,f,f,93b,f,93r,f,f,101b,97r,95b,94b,f,94r,f,f,96r,96b,95r,f,f,f,97b,f,f,98b,98b,97r,f,f,f,99b,98r,f,f,100r,f,f,105b,104b,f,f,107b,106r,f,f,f,262b,163b,139b,126b,123r,120b,113r,f,f,f,125b,f,125r,f,f,131r,129b,f,f,132b,131r,f,f,136r,f,f,157b,150r,140b,f,f,151b,f,f,161r,158b,f,f,162b,f,162r,f,f,222b,188r,179b,176r,167b,163r,f,f,169r,f,f,178b,f,f,184b,180r,f,f,187r,f,f,204b,197r,194b,191r,f,f,195r,f,f,200b,f,f,212r,209b,206r,f,f,f,220b,217r,f,f,f,242r,236b,232b,231r,f,f,235r,f,f,239b,238r,f,f,f,254b,248r,243b,f,245r,f,f,250b,f,f,258r,257b,256r,f,f,f,259b,259r,f,f,261r,f,f,328b,290b,277b,271r,266b,f,269r,f,f,272b,271r,f,f,273r,f,f,287b,283r,f,f,f,302r,299b,292r,290b,f,f,293b,292r,f,f,f,301b,f,f,320b,303b,f,317r,f,f,326b,323r,f,f,f,398b,354r,340b,338b,f,f,344b,341r,f,f,350r,f,f,381b,366r,365b,f,f,378b,369r,f,f,f,395r,390b,386r,f,f,392r,f,f,397b,f,f,431b,416r,415b,401r,f,f,f,423b,419r,f,f,427r,f,f,436b,f,438r,f,f,642b,522b,482b,468r,453b,451r,444b,f,445r,f,f,452b,451r,f,f,f,462r,461b,f,f,467b,463r,f,f,467r,f,f,472b,470b,f,f,478r,473b,f,476r,f,f,479b,f,f,510r,496b,487r,484b,482r,f,f,f,490b,f,493r,f,f,500r,499b,497r,f,f,f,504b,f,f,512b,511b,f,f,518b,517r,f,f,521r,f,f,566r,546b,534b,528r,525b,f,527r,f,f,529b,f,f,542b,538r,f,f,544r,f,f,556b,554b,552r,f,f,555r,f,f,559r,557b,f,f,564b,560r,f,f,f,594b,582b,572r,571b,567r,f,f,f,575b,573r,f,f,578r,f,f,592r,586b,583r,f,f,f,593b,f,f,623r,608b,598r,596b,f,f,601b,601r,f,f,607r,f,f,618b,613r,f,f,619r,f,f,628b,625b,f,f,634r,629b,f,630r,f,f,637b,f,f,812r,728b,667b,663b,655r,652b,650r,f,f,654r,f,f,658b,657r,f,f,f,665b,f,666r,f,f,690r,676b,675b,f,f,684b,f,688r,f,f,708b,698b,693r,f,f,706r,f,f,723r,715b,713r,f,f,f,727b,f,f,775b,755r,741b,737b,732r,f,f,f,745r,743b,f,f,748b,f,749r,f,f,761b,759r,757b,755r,f,f,f,760b,f,f,767b,762r,f,f,f,804b,795r,779b,778r,f,f,790r,f,f,802b,797r,f,f,f,806b,f,810r,f,f,923b,853r,843b,825b,821r,819b,815r,f,f,f,824b,822r,f,f,f,834r,827b,f,f,838b,836r,f,f,839r,f,f,848b,846b,f,f,852b,850r,f,f,f,889b,876r,859b,856b,f,f,863r,862b,f,f,874b,863r,f,f,f,880b,879b,f,f,884b,882r,f,f,886r,f,f,907b,899r,898b,891r,f,f,f,906b,f,f,917r,913b,f,f,922b,919r,f,f,922r,f,f,976b,940b,936r,925b,f,f,938b,937r,f,f,f,948r,947b,944r,f,f,f,952b,950r,f,f,958r,f,f,991b,984r,982b,980r,f,f,f,987b,f,f,995r,992b,f,993r,f,f,1000b,f,f
